book_title,author_name,average_rating,no_of_languages,first_published
2001: A Space Odyssey,Arthur C. Clarke,4.163793,8,1968
Eyewitness,DK Publishing,4.5,1,2000
The Awakening,Kate Chopin,3.580645,6,1899
The Sign of Four,Arthur Conan Doyle,4.0545454,12,1889
Charlie and the Great Glass Elevator,Roald Dahl,3.3777778,13,1972
Tempest,William Shakespeare,3.9583333,29,1611
The Prince,Niccolò Machiavelli,3.7777777,13,1515
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,4.0,1,1990
A Christmas Carol,Charles Dickens,3.8888888,19,1843
Pygmalion,George Bernard Shaw,3.9148936,8,1912
Ender's Game,Orson Scott Card,4.3426967,13,1985
The First Men in the Moon,H. G. Wells,3.5833333,8,1900
Sein und Zeit,Martin Heidegger,4.1,6,1927
The War of the Worlds,H. G. Wells,3.8115942,12,1898
A Wrinkle in Time,Madeleine L'Engle,3.9315069,6,1962
The Subtle Knife,Philip Pullman,4.0212765,8,1997
The Martian Chronicles,Ray Bradbury,4.061856,9,1950
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,4.5193796,9,1979
A Study of History,Arnold J. Toynbee,5.0,6,1900
The Time Machine,H. G. Wells,3.9305556,12,1895
A Brief History of Time,Stephen Hawking,4.1413045,14,1988
Peter Pan,J. M. Barrie,3.71875,7,1911
Flatland,Edwin Abbott Abbott,3.8901098,5,1884
Gulliver's Travels,Jonathan Swift,3.6911764,26,1726
De la terre à la lune,Jules Verne,3.7058823,6,1865
"I, Robot",Isaac Asimov,4.2266665,10,1950
Financial Management,United States. General Accounting Office,3.4285715,1,1987
Deception Point,Dan Brown,3.2643678,20,2001
Artemis Fowl,Eoin Colfer,3.8235295,13,1999
The Left Hand of Darkness,Ursula K. Le Guin,4.324324,9,1900
Essential Maths,Sean McArdle,4.8333335,1,1996
The Illustrated Man,Ray Bradbury,4.09375,5,1901
The Currents of Space,Isaac Asimov,3.7,7,1952
No Logo,Naomi Klein,3.4210527,8,1957
Have Spacesuit--Will Travel,Robert A. Heinlein,3.8888888,1,1958
Sphere,Michael Crichton,4.230769,11,1980
Dragonflight,Anne McCaffrey,4.0571427,6,1968
The Space Merchants,Frederik Pohl,4.8333335,3,1952
Perelandra: a novel,C.S. Lewis,3.7,3,1943
"Life, the Universe and Everything",Douglas Adams,4.168317,6,1900
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,4.428571,9,1999
That hideous strength: a modern fairy-tale for grown-ups,C.S. Lewis,3.4615386,2,1945
Cosmos,Alexander von Humboldt,4.0,4,1845
Out of the Silent Planet,C.S. Lewis,3.9230769,2,1938
La planète des singes,Pierre Boulle,3.9333334,5,1963
Revelation Space,Alastair Reynolds,3.6190476,2,2000
Starship Troopers,Robert A. Heinlein,3.775862,4,1959
Tales of space and time,H. G. Wells,4.5,1,1899
Rendezvous with Rama,Arthur C. Clarke,4.1609197,2,1973
Destination,Seymour Simon,3.0,1,2000
Tom's Midnight Garden,Philippa Pearce,4.2,6,1958
Cosmos,Carl Sagan,4.714286,11,1980
The Naked Sun,Isaac Asimov,3.8823528,7,1954
Contact,Carl Sagan,4.212766,8,1985
Dragonquest,Anne McCaffrey,4.5,5,1971
Ringworld,Larry Niven,3.8,4,1970
Nutrition: Science and Applications,Lori A. Smolin,4.25,1,1994
Вишневый сад,Антон Павлович Чехов,4.0,10,1918
"2010, odyssey two",Arthur C. Clarke,3.7142856,4,1982
Hidden Figures,Margot Lee Shetterly,4.0,3,2016
"The Stars, Like Dust",Isaac Asimov,3.3333333,6,1951
The Forever War,Joe Haldeman,4.1309524,4,1974
"Architecture, form, space & order",Frank Ching,5.0,1,1979
Pebble in the Sky,Isaac Asimov,4.047619,6,1950
The Tommyknockers,Stephen King,4.2941175,5,1987
Never Cry Wolf,Farley Mowat,4.3333335,2,1963
Witches Abroad,Terry Pratchett,4.3095236,6,1991
The ARRL handbook for the radio amateur,American Radio Relay League (ARRL),4.5,1,1926
Unicorn Coloring Book,kids M. shop notebook,5.0,1,2019
"Geography: realms, regions, and concepts",Harm J. de Blij,4.5,1,1971
The Halloween Tree,Ray Bradbury,3.6,4,1972
Danse Macabre,Stephen King,3.8660715,6,1981
Speaker for the Dead,Orson Scott Card,4.1034484,5,1986
Xenocide,Orson Scott Card,3.8481014,3,1991
The White Dragon,Anne McCaffrey,4.375,5,1978
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.221374,12,2011
Financial audit,United States. General Accounting Office,2.5,1,1975
S.O.S. C'e Un Topo Nello Spazio!,Elisabetta Dami,4.7,3,2011
Red Mars,Kim Stanley Robinson,3.686567,5,1992
The Indian in the Cupboard,Lynne Reid Banks,4.2083335,3,1980
The water-witch,James Fenimore Cooper,1.0,1,1830
"Space, time and architecture: the growth of a new tradition.",Sigfried Giedion,5.0,1,1941
The three stigmata of Palmer Eldritch,Philip K. Dick,3.5217392,5,1965
The power of color,Sara O. Marberry,3.3,1,1995
Ender's Shadow,Orson Scott Card,4.0,4,1999
The Wind's Twelve Quarters: Short Stories,Ursula K. Le Guin,4.0,5,1975
Puck of Pook's Hill,Rudyard Kipling,3.75,3,1906
A Briefer History of Time,Stephen Hawking,3.4117646,9,2005
Nova Atlantis,Francis Bacon,4.0,7,1627
Pale Blue Dot,Carl Sagan,4.5833335,4,1994
Space stations,Gregory Vogt,2.0,1,1990
Space stations,Erik Bergaust,3.0,1,1962
Space stations,Diane M. Sipiera,4.0,1,1997
Space Station Down,Ben Bova,1.0,1,2020
The Outer Space Mystery,Gertrude Chandler Warner,3.0,1,1997
Mrs. Jeepers in Outer Space,Marcia Thornton Jones,5.0,1,1999
Space vehicle electronics,"Newman, David B.",5.0,1,1964
Leviathan Wakes,James S. A. Corey,4.2352943,4,2009
A Swiftly Tilting Planet (Time Quintet #3),Madeleine L'Engle,3.6190476,1,1978
Star Wars Episode III - Revenge of the Sith,Matthew Woodring Stover,4.6666665,3,2005
"The Long Way to a Small, Angry Planet",Becky Chambers,4.0857143,4,2014
Caliban's war,James S. A. Corey,4.294737,4,2012
Use of Weapons,Iain M. Banks,3.9,2,1990
Star Wars - Thrawn,Timothy Zahn,4.3125,2,2017
Babylon's Ashes (The Expanse),James S. A. Corey,4.0588236,2,2016
Redshirts,John Scalzi,3.7971015,2,2012
Abaddon’s Gate,James S. A. Corey,4.125,3,2013
